geo_accession,title,description,char_0,char_1
"GSM4284605","pat 10 tumor [HDV_10A_S33]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284606","pat 10 non-tumor [HDV_10B_S37]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284607","pat 11 tumor [HDV_11A_S34]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284608","pat 11 non-tumor [HDV_11B_S6]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284609","pat 12 tumor [HDV_12A_S54]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284610","pat 12 non-tumor [HDV_12B_S46]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284611","pat 13 tumor [HDV_13A_S56]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284612","pat 13 non-tumor [HDV_13B_S1]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284613","pat 14 tumor [HDV_14A_S39]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284614","pat 14 non-tumor [HDV_14B_S30]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284615","pat 15 tumor [HDV_15A_S11]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284616","pat 15 non-tumor [HDV_15B_S34]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284617","pat 16 tumor [HDV_16A_S58]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284618","pat 16 non-tumor [HDV_16B_S7]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284619","pat 17 tumor [HDV_17A_S16]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284620","pat 17 non-tumor [HDV_17B_S11]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284621","pat 18 tumor [HDV_18A_S21]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284622","pat 18 non-tumor [HDV_18B_S49]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284623","pat 19 tumor [HDV_19A_S30]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284624","pat 19 non-tumor [HDV_19B_S12]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284625","pat 1 tumor [HDV_1A_S13]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284626","pat 1 non-tumor [HDV_1B_S4]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284627","pat 20 tumor [HDV_20A_S60]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284628","pat 20 non-tumor [HDV_20B_S57]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284629","pat 21 tumor [HDV_21A_S26]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284630","pat 21 non-tumor [HDV_21B_S52]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
