gene,direction,log2FC,padj
CYP1A2,down,-3.6979098014237772,2.4856371281326174e-133
LCAT,down,-1.1116094340513758,3.338011033343364e-133
FCN3,down,-3.003557599618241,3.9860589820962006e-144
MT1F,down,-2.647794062272858,6.822281354158675e-129
CXCL14,down,-2.289073676306451,1.8080859766804533e-143
FCN2,down,-2.0599116732890472,5.306196725842957e-142
CLEC4M,down,-2.323532572403309,3.8732126572504014e-147
MT1X,down,-2.689813370962373,3.9415698104724544e-126
CLEC1B,down,-2.1920360353450503,1.2224547028313287e-138
CRHBP,down,-2.0630470928372704,2.507370867657369e-134
GDF2,down,-0.679655613130048,1.246597819518059e-64
PRC1,up,1.6275222468443848,1.5131799209347044e-135
RACGAP1,up,1.6563210169661815,1.1058259194585163e-138
MCM3,up,1.3260759117795233,2.8162355962136384e-117
DTYMK,up,0.75546024538398,1.1011034852894345e-120
CDKN3,up,1.598292716285521,3.046238787164014e-131
