sample,dataset,stage,score
GSM362958,GSE14520,HCC_Tumor,2.3477827838191008
GSM362959,GSE14520,HCC_Tumor,1.9614916597727734
GSM362960,GSE14520,HCC_Tumor,1.5561302729312334
GSM362961,GSE14520,Adjacent_NonTumor,-1.0762928466796728
GSM362962,GSE14520,Adjacent_NonTumor,-1.8122138278108428
GSM362963,GSE14520,Adjacent_NonTumor,-1.714762354849349
GSM362964,GSE14520,HCC_Tumor,1.0272030424246201
GSM362965,GSE14520,HCC_Tumor,1.9490923260513469
GSM362966,GSE14520,HCC_Tumor,1.5191540084542137
GSM362967,GSE14520,Adjacent_NonTumor,-1.5930756689682575
GSM362968,GSE14520,Adjacent_NonTumor,-1.646124227766627
GSM362969,GSE14520,Adjacent_NonTumor,-1.6693971848260951
GSM362970,GSE14520,HCC_Tumor,1.9587794553050641
GSM362971,GSE14520,HCC_Tumor,-1.1944257761804487
GSM362972,GSE14520,HCC_Tumor,0.4674514906752987
GSM362973,GSE14520,Adjacent_NonTumor,-1.6593831313482101
GSM362974,GSE14520,Adjacent_NonTumor,0.6904338755960095
GSM362975,GSE14520,Adjacent_NonTumor,-1.8531056433609536
GSM362976,GSE14520,HCC_Tumor,-0.03909610356956905
GSM362977,GSE14520,HCC_Tumor,0.9565190629939091
GSM362978,GSE14520,HCC_Tumor,1.4038685640847457
GSM362979,GSE14520,Adjacent_NonTumor,-1.9461185117840774
GSM362980,GSE14520,Adjacent_NonTumor,-1.9831105026196225
GSM362981,GSE14520,Adjacent_NonTumor,-0.9793922388187306
GSM362982,GSE14520,HCC_Tumor,2.0296943433518497
GSM362983,GSE14520,HCC_Tumor,2.250657236972989
GSM362984,GSE14520,HCC_Tumor,0.4236457192015811
GSM362985,GSE14520,Adjacent_NonTumor,-1.7557818354960086
GSM362986,GSE14520,HCC_Tumor,2.1970070512599262
GSM362987,GSE14520,HCC_Tumor,0.8962665713108939
GSM362988,GSE14520,HCC_Tumor,2.073601175066677
GSM362989,GSE14520,Adjacent_NonTumor,-1.8025448188857447
